"Table 6: Trend in prevalence of breastfeeding at 6 to 8 weeks, by PCT and SHA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Source: Department of Health, Integrated Performance Measure Return",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Copyright © 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,Infants totally or partially breastfed,,,,,,,,,,Infants totally or partially breastfed,,,,,,,,,,% of infants whose breastfeeding status was known,,,,,,,,,,,,,,
,,,,,as % of all infants due a check,,,,,,,,,,as % of infants whose breastfeeding status was known,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,,,,2008/09 OT,2009/10 OT,2010/11 Q1,2010/11 Q2,2010/11 Q3,2010/11 Q4,2011/12 Q1,2011/12 Q2,2011/12 Q3,2011/12 Q4,2008/09 OT,2009/10 OT,2010/11 Q1,2010/11 Q2,2010/11 Q3,2010/11 Q4,2011/12 Q1,2011/12 Q2,2011/12 Q3,2011/12 Q4,2008/09 OT,2009/10 OT,2010/11 Q1,2010/11 Q2,2010/11 Q3,2010/11 Q4,2011/12 Q1,2011/12 Q2,2011/12 Q3,2011/12 Q4,GEOGCD,,,,
Q00,England,,,,,44.9%,45.4%,46.5%,45.7%,45.2%,45.6%,,,,49.0%,49.2%,48.2%,49.4%,48.9%,47.8%,49.1%,,,,75.4%,91.3%,94.2%,94.1%,93.3%,94.6%,92.9%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30,North East,,,,,30.3%,30.2%,31.1%,29.8%,29.1%,29.6%,,,,33.6%,31.1%,30.8%,31.5%,30.5%,29.7%,30.1%,,,,81.3%,97.3%,98.0%,98.5%,97.7%,97.9%,98.3%,,,,E18000001,,,,
Q31,North West,,,,,32.5%,33.3%,34.2%,34.3%,33.3%,34.2%,,,,34.8%,35.2%,34.8%,36.1%,35.5%,34.3%,35.4%,,,,79.7%,92.4%,95.7%,94.9%,96.4%,97.2%,96.6%,,,,E18000002,,,,
Q32,Yorkshire & Humber,,,,,39.9%,39.6%,41.1%,40.4%,40.1%,,,,,42.9%,42.7%,41.2%,42.4%,41.6%,41.1%,40.0%,,,,83.9%,93.3%,96.2%,97.0%,97.0%,97.4%,85.0%,,,,E18000003,,,,
Q33,East Midlands,,,,,43.4%,41.9%,42.3%,42.8%,42.2%,44.6%,,,,42.9%,45.0%,43.4%,43.8%,44.3%,43.4%,45.7%,,,,79.2%,96.5%,96.7%,96.8%,96.6%,97.3%,97.5%,,,,E18000004,,,,
Q34,West Midlands,,,,,37.7%,38.5%,38.4%,37.8%,,,,,,38.8%,40.4%,39.8%,40.1%,39.8%,38.9%,41.4%,,,,76.7%,93.3%,96.6%,95.6%,94.8%,94.1%,92.7%,,,,E18000005,,,,
Q35,East of England,,,,,43.0%,45.0%,46.1%,45.2%,,,,,,49.6%,47.9%,47.3%,48.9%,48.6%,46.9%,47.7%,,,,71.6%,89.6%,95.1%,94.2%,93.0%,94.5%,90.0%,,,,E18000006,,,,
Q36,London,,,,,63.3%,,64.9%,64.4%,,,,,,72.0%,70.7%,70.2%,71.6%,71.1%,70.0%,71.3%,,,,71.2%,89.5%,88.9%,90.8%,90.6%,92.4%,90.3%,,,,E18000007
Q37,South East Coast,,,,,45.9%,47.4%,,,,,,,,52.3%,53.2%,51.7%,54.0%,52.9%,51.9%,53.3%,,,,67.4%,86.4%,91.7%,87.9%,77.6%,86.8%,92.8%,,,,E18000008
Q38,South Central,,,,,,51.0%,52.5%,52.1%,,51.2%,,,,57.1%,54.8%,54.4%,55.7%,54.8%,52.9%,53.7%,,,,68.1%,83.9%,93.8%,94.4%,95.2%,92.7%,95.3%,,,,E18000009
Q39,South West,,,,,48.0%,47.1%,49.0%,49.2%,47.4%,49.3%,,,,50.5%,51.1%,49.2%,51.4%,51.2%,48.9%,51.1%,,,,78.6%,93.9%,95.7%,95.5%,96.0%,97.1%,96.4%,,,,E18000010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,PCT Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS1.1,Regional Centres,,,,,43.7%,44.0%,45.9%,46.7%,45.6%,45.8%,,,,48.0%,46.9%,46.2%,48.0%,48.2%,46.7%,47.6%,,,,81.4%,93.3%,95.2%,95.7%,96.8%,97.5%,96.3%,,,,
ONS1.2,Centres with Industry,,,,,38.2%,39.1%,40.3%,39.6%,38.6%,,,,,42.6%,42.7%,40.9%,42.3%,41.5%,40.2%,42.6%,,,,72.5%,89.5%,95.4%,95.3%,95.4%,95.9%,93.0%,,,,
ONS1.3,Thriving London Periphery,,,,,56.0%,59.1%,58.7%,60.8%,,59.5%,,,,67.4%,64.1%,62.4%,63.0%,64.2%,62.5%,62.5%,,,,74.0%,87.4%,94.6%,93.2%,94.7%,87.1%,95.3%,,,,
ONS2.4,London Suburbs,,,,,61.6%,,64.0%,63.5%,,,,,,66.3%,67.2%,67.0%,68.5%,70.2%,68.8%,68.7%,,,,70.6%,91.7%,89.1%,93.3%,90.4%,90.6%,88.0%,,,,
ONS3.5,London Centre,,,,,74.8%,76.7%,76.6%,75.4%,75.1%,76.6%,,,,79.2%,77.7%,79.0%,79.3%,77.5%,77.2%,78.4%,,,,80.1%,96.2%,97.2%,96.6%,97.3%,97.3%,97.7%,,,,
ONS4.6,London Cosmopolitan,,,,,,,,,,,,,,72.9%,73.7%,73.9%,75.8%,73.6%,73.9%,74.4%,,,,65.1%,84.2%,82.1%,82.6%,82.1%,86.9%,89.4%,,,,
ONS5.7,Prospering Smaller Towns,,,,,42.3%,42.7%,43.8%,43.0%,,,,,,45.6%,46.0%,44.8%,46.5%,45.8%,44.5%,46.4%,,,,77.5%,91.8%,95.3%,94.2%,94.0%,94.9%,91.4%,,,,
ONS5.8,New and Growing Towns,,,,,40.9%,41.8%,41.7%,41.2%,,,,,,51.2%,46.5%,45.2%,45.6%,45.1%,44.2%,43.2%,,,,67.5%,88.0%,92.6%,91.4%,91.3%,90.8%,93.3%,,,,
