ID,Station_Name,Country,Latitude,Longitude,Year,Month,Day,MaxTempC,MaxTempF,#Days>40C,#DaysMiss
PKM00041715,SHAHBAZ AB                    ,Pakistan  ,28.284,68.45,2024,5,26,52,125.6,30,1
PKM00041749,NAWABSHAH                     ,Pakistan  ,26.219,68.39,2024,5,27,51.5,124.7,28,1
PKM00041718,KHANPUR                       ,Pakistan  ,28.65,70.683,2024,5,26,50.2,122.4,27,1
PKM00041675,MULTAN INTL                   ,Pakistan  ,30.203,71.419,2024,5,27,48.8,119.8,24,1
PKM00041624,D I KHAN                      ,Pakistan  ,31.909,70.897,2024,5,26,48,118.4,22,1
PKM00041768,CHHOR                         ,Pakistan  ,25.517,69.783,2024,5,23,47.5,117.5,25,3
PKM00041764,HYDERABAD AIRPORT             ,Pakistan  ,25.383,68.417,2024,5,27,47.5,117.5,23,1
PKM00041598,JHELUM                        ,Pakistan  ,32.933,73.717,2024,5,29,46,114.8,17,1
PK000041640,LAHORE CITY                   ,Pakistan  ,31.55,74.333,2024,5,28,45.5,113.9,19,1
PKM00041710,NOKKUNDI                      ,Pakistan  ,28.817,62.75,2024,5,23,45,113,18,3
PKM00041600,SIALKOT                       ,Pakistan  ,32.5,74.533,2024,5,28,44,111.2,16,4
PK000041712,DAL BANDIN                    ,Pakistan  ,28.883,64.4,2024,5,25,44,111.2,12,1
PKM00041530,PESHAWAR INTL                 ,Pakistan  ,33.994,71.515,2024,5,27,43.5,110.3,9,2
PKM00041756,JIWANI                        ,Pakistan  ,25.068,61.805,2024,5,31,42,107.6,2,1
PKM00041739,PANJGUR                       ,Pakistan  ,26.955,64.133,2024,5,25,42,107.6,5,1
PKM00041780,JINNAH INTL                   ,Pakistan  ,24.907,67.161,2024,5,29,41.5,106.7,2,1
PKM00041744,KHUZDAR                       ,Pakistan  ,27.833,66.633,2024,5,26,41.5,106.7,1,8
PKM00041685,BAR KHAN                      ,Pakistan  ,29.883,69.717,2024,5,27,41.5,106.7,3,1
PKM00041571,CHAKLALA                      ,Pakistan  ,33.617,73.099,2024,5,27,40.8,105.4,7,2
